Price,Close,High,Low,Open,Volume
Ticker,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS,ASIANPAINT.NS
Date,,,,,
2018-01-01,1072.177001953125,1092.1926993490401,1066.973806407109,1090.317690423119,591349
2018-01-02,1071.3333740234375,1078.130282325052,1063.1771298380916,1074.3802639517473,516171
2018-01-03,1070.536376953125,1077.1926358004137,1064.3488703407365,1077.1926358004137,593809
2018-01-04,1098.80224609375,1104.3803523515342,1074.2864793905212,1077.1927205873624,729965
2018-01-05,1111.1771240234375,1117.5052789166316,1094.4894994173944,1104.3802169159328,1151320
2018-01-08,1108.1302490234375,1116.4271404362094,1100.1614612766532,1115.6302845498228,928875
2018-01-09,1118.48974609375,1122.3802980645864,1101.6614723069636,1109.1615080158922,699621
2018-01-10,1103.81787109375,1114.786628463079,1097.9115467001282,1111.8803872699764,1102382
2018-01-11,1114.6458740234375,1115.5833784767788,1096.8802104092065,1106.1615273855766,475476
2018-01-12,1115.3492431640625,1118.0212229861268,1102.505475156941,1112.8180263701436,390841
2018-01-15,1128.8021240234375,1132.6926754043157,1108.5519391268715,1115.3020389062087,723833
2018-01-16,1114.4583740234375,1128.8022373584292,1110.0052280494217,1128.8022373584292,557253
2018-01-17,1119.145751953125,1121.6301612227126,1104.7550839157752,1112.6301428806344,506648
2018-01-18,1113.989990234375,1128.849417247372,1107.19308097353,1120.3181471324033,500762
2018-01-19,1115.5364990234375,1120.317748534751,1104.286446318486,1109.1614233807168,722692
2018-01-22,1102.5052490234375,1119.0990322500113,1091.3489230200269,1117.5053204387225,942542
2018-01-23,1096.786376953125,1104.2394908609754,1083.9424985176006,1102.5051306780458,1841634
2018-01-24,1079.1146240234375,1098.4271942561072,1073.4895969008269,1096.8802889090953,1122469
2018-01-25,1078.5518798828125,1088.8176216199352,1071.9893491516937,1076.2550399035024,1563047
2018-01-29,1080.05224609375,1091.4897567112973,1075.8802818588667,1081.8803343309746,1538762
2018-01-30,1056.286376953125,1080.0052888831394,1053.2394870322307,1079.067784292095,1404578
2018-01-31,1057.7864990234375,1068.567802056619,1053.7551834170467,1057.5052018633708,961596
2018-02-01,1080.9427490234375,1085.0208709384835,1055.6301261061496,1055.6301261061496,1103162
2018-02-02,1066.7862548828125,1076.2550262147035,1053.7080001415516,1076.2550262147035,872105
2018-02-05,1063.2235107421875,1068.7548085166568,1044.6609958907052,1051.1296834417387,1263378
2018-02-06,1040.864501953125,1056.5677043018886,1021.9737610154205,1040.6301257986659,1055719
2018-02-07,1051.0362548828125,1054.8800003816941,1037.395633295645,1045.3175004145774,854461
2018-02-08,1053.802001953125,1060.59890972616,1040.6300176646555,1057.5050990321906,1185917
2018-02-09,1060.0830078125,1070.8643074718798,1032.1922543458434,1032.1922543458434,666922
2018-02-12,1072.8802490234375,1078.1302517086804,1064.9114602064603,1066.880196908242,646362
2018-02-14,1067.958251953125,1072.5051257956966,1056.5675496256558,1072.5051257956966,691596
2018-02-15,1064.4893798828125,1068.661343341986,1052.8174952798474,1064.0675486577265,471072
2018-02-16,1072.364501953125,1075.3176640233482,1059.3800874859492,1065.4738667502488,734476
2018-02-19,1050.3331298828125,1074.192687759121,1042.0831590561172,1073.4426383923917,443677
2018-02-20,1056.0052490234375,1065.0052706760653,1043.2082878035137,1053.7082939913319,662281
2018-02-21,1056.7547607421875,1062.4267073167034,1045.3172544964696,1061.5829305907055,720563
2018-02-22,1048.2235107421875,1056.0048420291232,1032.1922104705784,1052.5360075343397,1559398
2018-02-23,1032.9422607421875,1047.2392010019676,1030.223475443843,1047.2392010019676,1140118
2018-02-26,1035.7550048828125,1040.6299824474213,1026.9424398008205,1040.6299824474213,1170283
2018-02-27,1040.9580078125,1043.4424174089079,1030.270434557217,1035.754926956602,610498
2018-02-28,1047.895263671875,1053.7546646094274,1030.55143689672,1035.0045816092597,1006756
2018-03-01,1048.973876953125,1053.9425824651494,1038.7550543425075,1050.0051090826792,736217
2018-03-05,1036.8328857421875,1045.1766973103606,1031.2547806597438,1040.8642002068004,529677
2018-03-06,1032.7550048828125,1043.0675550874987,1031.2550204686079,1043.0675550874987,702294
2018-03-07,1038.0516357421875,1040.582851574555,1026.8015841468782,1036.5984583012162,669686
2018-03-08,1057.130126953125,1059.3801608024164,1038.3800356114893,1045.1301371593634,751329
2018-03-09,1058.5362548828125,1068.7550763077313,1054.13002973076,1062.1925451374207,1158526
