Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2018-01-01,432.6889953613281,438.8136036806783,431.75572171266526,436.93537907024364,6580516
2018-01-02,436.8537902832031,437.4720898664656,433.6340127905395,433.6340127905395,4776316
2018-01-03,432.2574157714844,438.2303621697606,431.91908694300224,437.4720772358851,4531288
2018-01-04,433.9489440917969,435.25552157475755,432.3390412640181,432.3390412640181,2373776
2018-01-05,434.8122253417969,435.85050945572596,432.93402904792623,434.67223997847327,2870868
2018-01-08,434.1122741699219,436.4687846655706,433.4473223268743,435.1388809794755,4570308
2018-01-09,434.8355407714844,436.2704547930066,432.805681850187,434.4389108383009,5305528
2018-01-10,434.9521789550781,435.8154741815216,433.34230467249125,435.18549737067065,4615888
2018-01-11,436.90045166015625,437.70538887726343,433.0973497352986,434.9522199214611,4059096
2018-01-12,435.20892333984375,438.2070597754336,433.97232414199027,437.00546404190743,4336708
2018-01-15,442.78009033203125,444.331663727246,433.9373153439428,436.29382600250835,12576444
2018-01-16,443.34002685546875,445.63820772786687,439.86357650207384,444.109960596822,6445384
2018-01-17,441.0885314941406,443.9000302204196,440.2719169158653,442.6051014252233,2905496
2018-01-18,451.307861328125,455.9042231164803,447.5164367500069,448.9046700491853,16649540
2018-01-19,455.48419189453125,457.2807607532392,447.7963616220858,451.5061300640915,11455988
2018-01-22,458.0857238769531,463.83702874756364,455.70588733523647,457.30411284971063,8849768
2018-01-23,455.27423095703125,458.8673117344211,453.407683651893,458.47068182457986,5047796
2018-01-24,456.755859375,459.4040180284814,455.11095294587983,455.5659410022083,4790568
2018-01-25,460.7922058105469,461.97047523331474,455.087581789182,455.8808701196716,8723668
2018-01-29,466.5552062988281,468.2584137565709,461.50385657084894,461.50385657084894,8235892
2018-01-30,465.58697509765625,467.08021889995865,462.9388163402075,466.123618934521,6397560
2018-01-31,467.9667663574219,469.7866615144193,463.60372308376014,464.1636930152404,6943348
2018-02-01,464.572021484375,470.13666062982185,463.2071142949265,468.0367946518226,6521420
2018-02-02,454.5043029785156,464.2803509205568,452.9877331790493,463.3704033446263,7346124
2018-02-05,446.5364685058594,451.5294885699681,444.6699210786227,447.50474567998907,7926784
2018-02-06,442.5584411621094,446.1048701600004,428.4426751345571,433.97231092970753,10749804
2018-02-07,436.9587707519531,444.93824973220535,434.53225336340296,444.93824973220535,8364972
2018-02-08,438.86029052734375,442.9783665225845,435.48885059857577,439.57192313298515,5171444
2018-02-09,431.52239990234375,435.06882834683466,430.2624747903202,431.1490961420686,6408952
2018-02-12,437.8570556640625,440.0385773795287,432.8407092093118,433.9722979458767,4381108
2018-02-14,439.3736267089844,442.8150737046766,437.3904199657041,440.9252000338017,3577188
2018-02-15,439.08197021484375,442.0801064198968,437.4720673108888,440.9018369261044,4915224
2018-02-16,438.3119812011719,442.103405552861,437.6237032498279,439.5485802283777,3583520
2018-02-19,438.21868896484375,440.41188802887194,433.7506635591105,439.24529581196924,3654552
2018-02-20,434.7189025878906,440.0035709084739,433.69232424498875,439.7469263227484,4084068
2018-02-21,433.36566162109375,435.9671678361138,432.152388685023,435.8271539918047,2753072
2018-02-22,432.3857116699219,433.97228841793,429.6675746914474,431.639104071597,13253596
2018-02-23,438.7669677734375,439.77021989445865,431.7324116877343,433.2489814234372,4076748
2018-02-26,445.9998779296875,446.7581628640318,439.46696157225966,440.52854339158864,4788884
2018-02-27,443.8999938964844,448.3796963953793,443.3050205027817,446.74646737247434,4787328
2018-02-28,439.6186218261719,442.2434544467589,438.17205879666216,440.8668983463009,4066364
2018-03-01,437.3204345703125,441.7418363220435,435.83886809717563,438.47537799583347,3909840
2018-03-05,436.29376220703125,438.1719868552214,433.56394812231906,437.27371664657693,3781464
2018-03-06,430.7641906738281,438.61536225561724,429.18929112769496,436.30550389170406,4576828
2018-03-07,427.579345703125,432.43238040082497,426.622745844024,429.30590776757134,5628164
2018-03-08,432.3040771484375,433.6223320651179,427.4393932436352,429.25928851566823,5518724
2018-03-09,431.88409423828125,435.1972045747498,430.2391879028755,432.79401333658683,4108108
2018-03-12,435.6638488769531,436.17713804277474,432.43239424012285,434.0189425134606,6557116
2018-03-13,434.0306091308594,439.74691066221595,432.8056873741401,435.7104904332872,5124200
2018-03-14,435.022216796875,435.8155051625328,431.17246266592923,433.03901012335746,3680392
2018-03-15,438.82537841796875,440.3886007340315,435.18558759510773,435.18558759510773,5870924
2018-03-16,432.33905029296875,438.8952924721807,430.83415781370024,438.6386478957265,7896336
2018-03-19,430.9974365234375,433.97224627613684,430.0408367305845,432.3390173923019,7838740
2018-03-20,429.1892395019531,433.0156673389115,428.1976362032941,430.49581697570034,3657372
2018-03-21,433.7156982421875,434.718950548208,430.0759359015804,431.1725212894129,5921140
2018-03-22,435.78045654296875,438.6386070409751,432.828972985512,433.71559432841434,6673224
2018-03-23,429.6675720214844,432.3623828360008,428.6642913662939,430.85749033446916,7190152
2018-03-26,441.7767333984375,443.3049803811995,427.7893060678575,429.2825495927603,10501768
2018-03-27,441.5784606933594,443.07170436112744,437.7053804009874,441.8584599017713,6136836
2018-03-28,440.06182861328125,443.23495315753263,437.7169957816608,439.3268699569151,8837508
2018-04-02,450.5845642089844,451.64617451355497,441.0885150034228,441.0885150034228,4596368
2018-04-03,447.0147705078125,449.30127395518144,445.8715045435017,448.8929667165885,4079884
2018-04-04,439.3969421386719,449.1263094729365,438.27700225963594,446.3264882566009,3714108
2018-04-05,445.381591796875,446.57151018732986,441.01851972353256,443.60837728548574,4858892
2018-04-06,448.7646484375,449.4762525197797,444.6582499992771,446.15146508135666,3720008
2018-04-09,452.41607666015625,453.1043545807418,447.1314089498721,447.6913788330399,4003536
